"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"107" "35c21b8f11954458d0a15009262d7db8" 6.1 7.8 7.6 7.9 7.1 7.8 7.2 5 7.9 9.2 8.5 6.1 7.7 7.8 8.1 9 7.5 8.1 8.4 7 8.1 9.7 9.8 8.3 9.6 8.5 7.2 7.4 7.8 7.4 7.2 7.9 6.9 5 7.7 9 8.8 9 7.6 8.7 7.2 7 6 7.4 7.72588235294118
"135" "43cda3148cb021d5995f9efa93afb2c7" 7.3 7.1 5.2 9.7 7.9 6.4 7.3 7.2 5.8 10 8.4 5.8 7 7.9 8.4 9.8 8.5 7.6 7.7 7.5 7.6 8.5 8.4 5.8 9.2 8.3 7 6.5 8.3 7.4 7.1 9.7 7.4 6.1 7 7.4 8 8.6 7.8 7.6 6.5 7.5 6.1 7.7 7.08315789473684
"161" "4eb9a2f1f65c4a25a2aafcc2996d056b" 7.5 8.2 7.7 9.6 8.1 7.9 8.3 5.1 7.4 10 8.7 5 7 7.9 9 9.3 8.7 7 9.1 7.6 7 8.8 8.9 5.6 9.3 9.6 8.5 8.8 10 8.8 10 9.1 7.2 5 7 7.1 9.9 9.5 7.6 8.6 6 7 6 6.4 7.99411764705882
"163" "4efbf860e40248480e28255788f4cfd2" 8 7.1 7 7 8.3 7.2 7 9 7.2 8 9 6.9 7 8 8.6 8.3 8.1 7.5 8.2 8.4 7.5 8.8 9.2 8 9.3 9.6 8.5 6.8 9 8.2 7.3 9.2 7.5 7.4 8.4 8.8 8.2 8.9 8 9.5 7.4 7 8.5 8.3 7.9632183908046
"169" "51a11fb4a8e3a5c6367c0d6aae8b918a" 6.8 7.6 7.5 8.4 8.4 7.1 6.1 5 7.5 9.8 8.8 6 7.3 8 8.4 8.9 8.4 7.6 8.8 7.8 7.6 8.9 8.7 7.6 9.2 9.8 9.2 7 9.5 8.2 8.1 7.9 8.5 6.1 8 8.8 9.2 9.4 8.7 9.6 7.3 9 9.8 7.4 8.03218390804598
"208" "6389c6747d3c71ead63ab3f2a7b2af76" 7.5 5 5.7 7.3 5 5 6.3 7.7 5.7 8.5 7.3 5 7 9.1 8.4 8.2 8.3 7.7 6.3 5.8 7.7 8.4 9.8 7.3 8.6 7.8 7.6 5.8 7.8 6.4 6.8 8.4 5.7 7 7.1 6.5 8 8.6 8 9 5.9 7 7 6.4 7.14470588235294
"218" "682db4ac0a0682dc60f9240f8ef98df8" 5.3 5.1 5.4 6.8 5.8 6.4 8.3 5.1 7 8 6.5 5.5 7.3 7.3 8.7 9.5 7.7 5 7.1 7.2 5 8.3 7 5.7 8 8.6 5.1 6.3 9.2 5 5.5 7 5 5 5.5 6.4 7.9 5.6 5.3 7 5.4 7.8 5.8 5.9 5.6353982300885
"228" "6ba93bd7be7b003ebc89952ef1ea690b" 8.3 7 5 7.7 7 6.3 8.3 7.9 5.3 9 8.3 5.1 7.9 9.1 8.5 8.8 7.8 7.2 7.4 7.2 7.2 7.4 7.1 9.5 9 9.4 7 5.2 9 5 7.2 7.6 6.2 6.4 9.6 9.2 8.2 8.9 7.7 8.4 5 6.4 5.3 7 7.34712643678161
"231" "6c8322bdee6eeb682cf206c4e08f1e0c" 8 8.3 7 7.4 5.6 5.3 7.5 5.2 5.1 9.4 7.7 7.6 7.1 8.5 7.8 9.3 7.6 5 8 5.3 5 8 9.7 8.4 8.9 7 8.8 6.7 8.6 6.4 5.6 8.4 5.3 6.4 8 8.6 8.3 9.6 7.6 8.6 5.3 5.4 7 6.8 6.57857142857143
"234" "6ef9726ec00354df7312038450e9018c" 5 5 5.3 5 5.7 5.1 7 7 5.3 8 7.8 5 7 7.9 8.4 8.2 7 5.6 6 5.9 5.6 7 6.6 5.4 7.7 9 5 7.4 7.8 6.3 5.2 5 5 5.3 5.9 7.6 8.2 7.7 5 5.8 5 7 5.1 5.7 6.33647058823529
