matricula,cra
066a1b8f51616bc9f7cf392aec12df2c,6.79080459770115
07e605cabb25fcd348569d15324433cc,7.23033707865169
1471a43df7d59a219ad739462d791410,7.4448275862069
25f50af45fa0065a73077d8d047a7cd1,7.95411764705882
3a06055e79bcd8fd30eead8121688166,7.2
3b3c1d5f7a47df614511c13e0c2a7f5a,5.27637795275591
423defededd609f5f775cf9e995863e0,6.68941176470588
43b25665042b9506427914fb61793119,6.71294117647059
4fe128ce3d81f350a013b8961c224ca9,6.76043956043956
601da0d3674368f0771b5db28fd318ad,7.72117647058823
765d5655477526e7ed8de288f1345fd5,7.31609195402299
7ef43ad9fbfe0b9703daf664cf938650,6.1032967032967
810924c3ffaa9f9888fa58a7a3f9a33b,6.84606741573034
a4bb6242ddc9d577a78c18846cc3f074,6.97126436781609
a5d259ee87132591aea217a6731b81db,8.48588235294118
aa153d763625a7eca0445f18025c9660,7.59655172413793
b050b32472d3681f701bbc20fdd78872,7.38390804597701
b287908b64caf7cfd246a42d1e27a945,7.23846153846154
b41d2f7f5f7586de56814c273fe9b839,7.94
bc2836d6ffe5c75765d427fb3fc81dab,6.7314606741573
c30277c5649769fee3ffdba05ca3e8eb,7.4978021978022
dbb2ad522c8c692e746ff3acbe3974dd,8.16117647058824
e0555fa1ba77f354307d2a09bc1a0d2d,7.06470588235294
e12312ce5a4289776ac4bb6e39fbfc2a,7.46551724137931
ee3d9477b624b8ccdfb43c60e7b5f216,5.6018691588785
ee6423b901f12fce3645c241f9f659f4,7.5551724137931
f5d50bbc167b67b1a957be226455cf35,6.70888888888889
f6b5ed2f758f6f8af2837075ae62e179,7.73103448275862
fbee4c39040ef3a4ce7ccd4e3d90e3d0,7.25747126436782
0cc3d63edf0b986cb87e345972857e15,8.47764705882353
0d78246db769dc958ce19fc414050b2a,6.85172413793103
0f5bb983df06b90337dc2c6301fef3f6,9.09058823529412
1307a4421a67a497cea198e8ccfb97ee,7.28351648351648
1432d50cf8519694ab992c414d90a130,7.20574712643678
16323c1ac9f0e84db90f15a88d347d8b,7.80823529411765
18ff92e2fd6da41b520ded9c402e149f,8.85882352941177
1a1e13e2a3497e3e755ee5700bafb3b6,6.15882352941177
1ff77eae977b8756d496022ebda22f68,6.73058823529412
20a4e1e93e605ae13d48e4de603781e4,7.07931034482759
2117d0c2f5c4afbc978abbe96d6cbe7b,6.3873786407767
221886f7885fff35b787e310fe7aa245,6.13451327433628
237041a9b83f50683cfcbca756ef7691,6.83406593406593
24103741854b2912fcd48914e6900b78,7.24719101123596
273d1a4de82207fa4fb11a0ebc6135aa,6.11627906976744
28065a490f6036431dfb6531d3ab19b7,8.52235294117647
2985a691c563d06ea9c97bbe9e66ae46,8.77176470588235
29eb1e434245d04d11babd2f3ad8cfd4,8.66117647058824
31d229eedfd0aa12184d5fb1d9ed7040,7.01058823529412
31dfd5f8669bf8c05c2877d9e6d6f09c,7.1247191011236
341bfb6aa418ce9c6d37a19eec0dc245,7.05862068965517
353e9a6ebcf4f7127cadb7d535123e70,8.77294117647059
35c21b8f11954458d0a15009262d7db8,7.72588235294118
3b0154aceaadb1a5206360b5cb4bb689,6.46703296703297
43cda3148cb021d5995f9efa93afb2c7,7.08315789473684
460007fff68e7ed378eb9fbd0c76db5d,6.60481927710843
4c782f64881dba79d518865c01328162,7.21241379310345
4eb9a2f1f65c4a25a2aafcc2996d056b,7.99411764705882
4efbf860e40248480e28255788f4cfd2,7.9632183908046
