"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"18" "3a06055e79bcd8fd30eead8121688166" 7.1 8 8.4 5.8 6.3 6.5 8.6 6.3 7 8.8 6.1 7 7.3 7.8 8.1 8.7 8.1 7.2 7.2 8.6 7.2 7.2 8.1 7.2 5.1 8.8 8.5 6.4 6.1 7 5 8.4 7.4 7.3 5.5 7.1 9.4 8.3 5.9 9.4 7 7.3 6 7.1 7.2
"19" "3b0154aceaadb1a5206360b5cb4bb689" 5.3 7.1 7.4 8.7 5 5.3 5.6 8.2 5.4 7.6 5.4 5.2 7 9.3 7.8 7.8 7 5.6 8.5 7 5.6 7.4 7.7 5 7.2 8 5.2 5.4 7 6.2 7.3 5.3 8.3 6.1 5 7.2 6.6 7.6 5.6 8.2 5.4 5.4 7 6 6.46703296703297
"20" "3b3c1d5f7a47df614511c13e0c2a7f5a" 5.4 5 7 7.9 5.6 6.8 5.3 5.2 5.5 7.8 7.1 5.6 5.2 7.7 8.2 9.2 7.1 7.1 5.4 7 7.1 8.5 7.8 5.5 7 7.8 5.9 5 8.5 7 5 5.4 7.1 5.8 5.3 5 7 8.6 5.4 7 5.4 5 5.6 5.6 5.27637795275591
"21" "423defededd609f5f775cf9e995863e0" 5 5.4 6.5 7.7 6.5 5.1 5.7 5.5 5.3 9.3 5.5 6.1 7 7.1 5.9 8.5 7.4 6.2 7.2 7 6.2 8 8 7.7 5.6 8.8 6.7 5 8.8 5 6.2 7.8 7.8 5.1 6 7 7.5 8.9 5.3 8.8 5 6.4 6.1 7.2 6.68941176470588
"22" "43b25665042b9506427914fb61793119" 5 5 5.5 8.6 6.6 6.2 5.3 5.1 7 9.3 7 5.5 7.5 8.1 5.9 8.9 7 7.1 5.9 5 7.1 8.7 7.8 7 6.7 7 5.8 7.9 7 8.2 5.2 6.4 7.3 5.2 7.3 5.9 8.1 8.2 5 7.7 7 5.9 5.4 7.6 6.71294117647059
"24" "4c782f64881dba79d518865c01328162" 7.3 6.3 7.2 8.9 7.1 7.7 8.8 5 7.7 9.3 7.7 6.4 7 5 7.3 9 8.4 7 8.3 7.6 7 9.1 9.6 5.8 7.4 7.3 7.5 6.4 7.6 7.4 5 8.1 8.7 7.6 6.2 7.44 8.9 7.7 6.5 8.9 7 7.8 5 6.1 7.21241379310345
"25" "4fe128ce3d81f350a013b8961c224ca9" 5 6.2 5.6 7.3 7 7 7.7 5.3 6.6 7 9.7 7.3 5.5 8.3 5 8.3 7.5 8.1 7.1 8 8.1 9.5 8.9 8.5 7.9 8 7 5 7.7 5.4 5 5.3 5 6.1 8.1 8.4 8.8 9.5 5.5 8 5.9 6.6 5.4 7.8 6.76043956043956
"26" "53662ce7ef46f956ad84fb5328db40c5" 9.2 8.3 7.9 8.7 8 8 8.1 5 8.4 9 8.8 7.8 7.3 9.7 8.1 8 9.1 8.1 7.9 9.1 8.1 9.1 9 8.2 9.2 9 9.4 8.5 6.9 9.2 7.8 7.4 8.5 8 7.8 9 8.9 8.5 8.6 9.5 7.3 7.5 7.2 7.8 8.21379310344828
"27" "56273b1a816eee8124270bc94b76a5ee" 5 5 7.3 9.1 5 6.1 7.3 7 6 8.5 7.6 5 7 8.5 8.4 9.4 8.9 7 7.4 7 7 7 7.6 9.4 8.9 9 5.8 6.3 9.1 7.5 5.7 8 7.3 7.3 9.2 7.4 9.6 8.9 5 8.2 5.5 6.6 7 7.4 7.34
"28" "601da0d3674368f0771b5db28fd318ad" 5.8 8.3 6 8.5 5.4 7.8 7.8 6.2 6.5 9.7 7.4 7.9 7.2 8 7.9 7.3 8.4 7 10 7.9 7 8.2 9.1 9.8 8.9 8 6.4 7.4 8.5 8.5 8.6 5.4 7.2 6.4 9.7 8.9 7.1 8.6 7 8.6 6.6 8 6.4 8.5 7.72117647058823
"30" "7345a0b30b8266fe870d2b89089e557b" 6.1 6.4 7 8.1 7.6 5.4 9.5 5.4 8.2 10 6.6 6.6 5 8.3 7.7 9 9.1 7 7.5 7.9 7 7.1 8.2 7 8.2 8.5 7 5 8.7 7.9 5 7.6 7 6 5 6.7 9.4 8 6 9.3 5.8 7.3 7.2 5.1 7.05955056179775
"31" "765d5655477526e7ed8de288f1345fd5" 6.1 5.9 7.9 8.3 7.7 5.8 5 6.2 6.4 7.4 7.8 7 7 9.3 8.2 8.4 7 7 7.7 7.6 7 8.3 8.3 8 9.2 7.3 7.5 7.1 8.7 7.3 7 7.9 8.9 5.9 7.7 8 7.1 8.6 7 7.9 7.3 7 7 5 7.31609195402299
"32" "7ef43ad9fbfe0b9703daf664cf938650" 7 5.3 6 7 6.8 5.5 6.2 6 5 7.7 5 5 7.7 8.3 7.7 9 7.4 5.8 5.7 5.2 5.8 9 8.2 5.1 7.8 5.4 5.7 7.8 7.1 5.6 5.3 5 7.1 5.5 5.4 6.4 5.3 8.2 5 6.4 5.2 6.1 5 7.4 6.1032967032967
"33" "810924c3ffaa9f9888fa58a7a3f9a33b" 7.6 5.7 7 7 7.4 6.6 6.1 5.1 5 9.5 6.1 5 7.1 7.3 8 8.2 7.2 7 7.6 8 7 7.7 8.1 8.9 9 7 6.6 7 7 5.5 5.1 7 8.9 6.1 7.4 8.5 8.5 8.4 7.1 8.9 5.5 5.8 5 7 6.84606741573034
"34" "83be26c24bc575c4408d604eeea0263b" 9 8.1 7.9 9.5 7.6 7.9 5.9 5.7 8.1 9.8 7.8 6.5 8.7 9.4 8.3 8.3 9 7 8.4 7.6 7 8 8.5 6.7 8 8 7.8 7.9 8.1 9.2 6.5 8.6 8 6.7 6.2 7.9 9.4 8.3 7 8.7 6.3 5.5 6.8 7 7.79647058823529
